entity_type,target_type,layer,score
functional_group,classification,0,0.9202777777777778
functional_group,classification,1,0.9733333333333334
functional_group,classification,2,0.9777777777777779
functional_group,classification,3,0.9800000000000001
functional_group,classification,4,0.9822222222222223
functional_group,classification,5,0.9800000000000001
functional_group,classification,6,0.9822222222222223
functional_group,classification,7,0.9977777777777778
functional_group,classification,8,0.9977777777777778
functional_group,classification,9,0.9930555555555556
functional_group,classification,10,0.9908333333333333
functional_group,classification,11,0.9908333333333333
functional_group,classification,12,0.9952777777777777
functional_group,classification,13,0.9974999999999999
functional_group,classification,14,1.0
functional_group,classification,15,1.0
functional_group,classification,16,1.0
functional_group,classification,17,1.0
functional_group,classification,18,1.0
functional_group,classification,19,1.0
functional_group,classification,20,1.0
functional_group,classification,21,1.0
functional_group,classification,22,1.0
functional_group,classification,23,1.0
functional_group,classification,24,1.0
functional_group,classification,25,1.0
functional_group,classification,26,1.0
functional_group,classification,27,1.0
functional_group,classification,28,1.0
functional_group,classification,29,1.0
functional_group,classification,30,1.0
functional_group,classification,31,1.0
functional_group_structure,classification,0,0.9496031746031747
functional_group_structure,classification,1,0.9706349206349205
functional_group_structure,classification,2,0.9777777777777779
functional_group_structure,classification,3,0.9777777777777779
functional_group_structure,classification,4,0.980952380952381
functional_group_structure,classification,5,0.9777777777777779
functional_group_structure,classification,6,0.9746031746031747
functional_group_structure,classification,7,0.9873015873015873
functional_group_structure,classification,8,0.9968253968253968
functional_group_structure,classification,9,1.0
functional_group_structure,classification,10,1.0
functional_group_structure,classification,11,1.0
functional_group_structure,classification,12,1.0
functional_group_structure,classification,13,1.0
functional_group_structure,classification,14,1.0
functional_group_structure,classification,15,1.0
functional_group_structure,classification,16,1.0
functional_group_structure,classification,17,1.0
functional_group_structure,classification,18,1.0
functional_group_structure,classification,19,1.0
functional_group_structure,classification,20,1.0
functional_group_structure,classification,21,1.0
functional_group_structure,classification,22,1.0
functional_group_structure,classification,23,1.0
functional_group_structure,classification,24,1.0
functional_group_structure,classification,25,1.0
functional_group_structure,classification,26,1.0
functional_group_structure,classification,27,1.0
functional_group_structure,classification,28,1.0
functional_group_structure,classification,29,1.0
functional_group_structure,classification,30,1.0
functional_group_structure,classification,31,1.0
mw,regression,0,0.8724315229115982
mw,regression,1,0.9342263469152663
mw,regression,2,0.9271841366900258
mw,regression,3,0.9190433268015988
mw,regression,4,0.9150244044815858
mw,regression,5,0.9181009176501995
mw,regression,6,0.9178502504558779
mw,regression,7,0.9310345566699023
mw,regression,8,0.9403681453159418
mw,regression,9,0.9369784625190268
mw,regression,10,0.937860381600305
mw,regression,11,0.9406515940681442
mw,regression,12,0.941009612043134
mw,regression,13,0.9500127070364146
mw,regression,14,0.9528621986375008
mw,regression,15,0.9521766355009665
mw,regression,16,0.934183469237437
mw,regression,17,0.9453264380024452
mw,regression,18,0.9394982380417982
mw,regression,19,0.934984336547904
mw,regression,20,0.940566809735824
mw,regression,21,0.940960547221642
mw,regression,22,0.9412611961119325
mw,regression,23,0.9430210749522139
mw,regression,24,0.9505779399807771
mw,regression,25,0.9443408588248733
mw,regression,26,0.9401243629453662
mw,regression,27,0.934462945491785
mw,regression,28,0.932417549261743
mw,regression,29,0.9270155945480395
mw,regression,30,0.9277579411527179
mw,regression,31,0.9237926778406376
pka,regression,0,0.9714552656147578
pka,regression,1,0.984365742570081
pka,regression,2,0.9775080192496535
pka,regression,3,0.9286338367120368
pka,regression,4,0.8877045450972435
pka,regression,5,0.9170422831143586
pka,regression,6,0.9179450659386639
pka,regression,7,0.9284808985654337
pka,regression,8,0.9340192118711131
pka,regression,9,0.9565678271813596
pka,regression,10,0.9618671116499351
pka,regression,11,0.9506129865244514
pka,regression,12,0.9498908979065513
pka,regression,13,0.9552469144558804
pka,regression,14,0.9527783413917346
pka,regression,15,0.9624981804560848
pka,regression,16,0.9595486856021669
pka,regression,17,0.9547630941208783
pka,regression,18,0.9576708383331038
pka,regression,19,0.9712292598712102
pka,regression,20,0.9680639541370756
pka,regression,21,0.9654016525256359
pka,regression,22,0.9637992041939534
pka,regression,23,0.9590111148360542
pka,regression,24,0.9607565435238203
pka,regression,25,0.9541125899904852
pka,regression,26,0.9561494510031873
pka,regression,27,0.9477011892130474
pka,regression,28,0.9520739452106624
pka,regression,29,0.9510943706322663
pka,regression,30,0.9550794472398089
pka,regression,31,0.9462853397470428
pkah,regression,0,0.9855224052795142
pkah,regression,1,0.9856202986241502
pkah,regression,2,0.9771044139558752
pkah,regression,3,0.9481239445210582
pkah,regression,4,0.9369414002783507
pkah,regression,5,0.9242268823537282
pkah,regression,6,0.9402021176729868
pkah,regression,7,0.9480597064465736
pkah,regression,8,0.9532461710326535
pkah,regression,9,0.9589317710189456
pkah,regression,10,0.9548781001060718
pkah,regression,11,0.9506370321857679
pkah,regression,12,0.9557594423736004
pkah,regression,13,0.9713919831231239
pkah,regression,14,0.9696842196276787
pkah,regression,15,0.9797685796570061
pkah,regression,16,0.9734870487058466
pkah,regression,17,0.9712967512182192
pkah,regression,18,0.9798394364947036
pkah,regression,19,0.9789719393108566
pkah,regression,20,0.9770459648455485
pkah,regression,21,0.9795260629289885
pkah,regression,22,0.9821395262955328
pkah,regression,23,0.9832825371687001
pkah,regression,24,0.9824951767056531
pkah,regression,25,0.9830728280087877
pkah,regression,26,0.9815383447685717
pkah,regression,27,0.9816152536944482
pkah,regression,28,0.9866038002341293
pkah,regression,29,0.9860845518381609
pkah,regression,30,0.9866030171680663
pkah,regression,31,0.9842865870049267
tpsa,regression,0,0.9805334795382199
tpsa,regression,1,0.9875453945146256
tpsa,regression,2,0.9861861136139043
tpsa,regression,3,0.9687632380524139
tpsa,regression,4,0.95468900918712
tpsa,regression,5,0.9601738785776887
tpsa,regression,6,0.9585970407732092
tpsa,regression,7,0.9529384889299068
tpsa,regression,8,0.9558693598708994
tpsa,regression,9,0.9520834292627853
tpsa,regression,10,0.955094235234786
tpsa,regression,11,0.9618146425840652
