iupac_name,common_name,formula,carbon_count,functional_group,functional_group_structure,mw,pka,pkah,tpsa,avg_carbon_oxidation_state,hbd,hba,boiling_point_c,water_solubility
Propane,propane,CH3CH2CH3,3,none (alkane),C-H / C-C,44.097,50,N/A (no stable aqueous conjugate acid),0,-2.6666666666666665,0,0,-42.1,very low
Butane,n-butane,CH3CH2CH2CH3,4,none (alkane),C-H / C-C,58.124,50,N/A (no stable aqueous conjugate acid),0,-2.5,0,0,-0.5,very low
Pentane,n-pentane,CH3(CH2)3CH3,5,none (alkane),C-H / C-C,72.151,50,N/A (no stable aqueous conjugate acid),0,-2.4,0,0,36.1,very low
Hexane,n-hexane,CH3(CH2)4CH3,6,none (alkane),C-H / C-C,86.178,50,N/A (no stable aqueous conjugate acid),0,-2.3333333333333335,0,0,68.7,very low
Propan-1-ol,n-propyl alcohol,CH3CH2CH2OH,3,alcohol,-OH,60.096,16.1,-2.35,20.23,-2,1,1,97.2,miscible
Butan-1-ol,n-butyl alcohol,CH3(CH2)3OH,4,alcohol,-OH,74.123,16.1,-2.35,20.23,-2,1,1,117.7,high
Pentan-1-ol,n-amyl alcohol,CH3(CH2)4OH,5,alcohol,-OH,88.15,16.1,-2.35,20.23,-2,1,1,137.9,moderate
Hexan-1-ol,n-hexyl alcohol,CH3(CH2)5OH,6,alcohol,-OH,102.177,16.1,-2.35,20.23,-2,1,1,157,low
Propane-1-thiol,n-propyl mercaptan,CH3CH2CH2SH,3,thiol,-SH,76.164,10.65,-6.8,1,-2,1,1,67.8,low
Butane-1-thiol,n-butyl mercaptan,CH3(CH2)3SH,4,thiol,-SH,90.191,10.66,-6.8,1,-2,1,1,98.4,low
Pentane-1-thiol,n-amyl mercaptan,CH3(CH2)4SH,5,thiol,-SH,104.218,10.6,-6.8,1,-2,1,1,126.5,very low
Hexane-1-thiol,n-hexyl mercaptan,CH3(CH2)5SH,6,thiol,-SH,118.245,10.3,-6.8,1,-2,1,1,151,very low
Propanal,propionaldehyde,CH3CH2CHO,3,aldehyde,-CHO,58.08,17,-7.2,17.07,-1.3333333333333333,0,1,48.8,high
Butanal,butyraldehyde,CH3CH2CH2CHO,4,aldehyde,-CHO,72.107,17,-7.2,17.07,-1.5,0,1,74.8,moderate
Pentanal,valeraldehyde,CH3(CH2)3CHO,5,aldehyde,-CHO,86.134,17,-7.2,17.07,-1.6,0,1,102.9,low
Hexanal,caproaldehyde,CH3(CH2)4CHO,6,aldehyde,-CHO,100.161,17,-7.2,17.07,-1.6666666666666667,0,1,128.7,low
Propanoic acid,propionic acid,CH3CH2COOH,3,carboxylic acid,-COOH,74.079,4.875,-6.8,37.3,-0.6666666666666666,1,1,141.1,miscible
Butanoic acid,butyric acid,CH3CH2CH2COOH,4,carboxylic acid,-COOH,88.106,4.82,-6.8,37.3,-1,1,1,163.5,high
Pentanoic acid,valeric acid,CH3(CH2)3COOH,5,carboxylic acid,-COOH,102.133,4.8,-6.8,37.3,-1.2,1,1,186.2,moderate
Hexanoic acid,caproic acid,CH3(CH2)4COOH,6,carboxylic acid,-COOH,116.16,4.8,-6.8,37.3,-1.3333333333333333,1,1,205.8,low
Propan-1-amine,n-propylamine,CH3CH2CH2NH2,3,amine,-NH2,59.112,35,10.69,26.02,-2,1,1,48.6,miscible
Butan-1-amine,n-butylamine,CH3(CH2)3NH2,4,amine,-NH2,73.139,35,10.653,26.02,-2,1,1,77.7,miscible
Pentan-1-amine,n-amylamine,CH3(CH2)4NH2,5,amine,-NH2,87.166,35,10.63,26.02,-2,1,1,104.3,high
Hexan-1-amine,n-hexylamine,CH3(CH2)5NH2,6,amine,-NH2,101.193,35,10.64,26.02,-2,1,1,132.7,moderate
Propanenitrile,propionitrile,CH3CH2CN,3,nitrile,-C≡N,55.08,25,-4.3,23.79,-0.6666666666666666,0,1,97.2,high
Butanenitrile,butyronitrile,CH3CH2CH2CN,4,nitrile,-C≡N,69.107,25,-4.3,23.79,-1,0,1,117.7,moderate
Pentanenitrile,valeronitrile,CH3(CH2)3CN,5,nitrile,-C≡N,83.134,25,-4.3,23.79,-1.2,0,1,140.4,low
Hexanenitrile,capronitrile,CH3(CH2)4CN,6,nitrile,-C≡N,97.161,25,-4.3,23.79,-1.3333333333333333,0,1,163,low
Methyl ethanoate,methyl acetate,CH3COOCH3,3,ester,-COO-,74.079,25,-7.25,26.3,-0.6666666666666666,0,2,56.9,moderate
Methyl propanoate,methyl propionate,CH3CH2COOCH3,4,ester,-COO-,88.106,25,-7.25,26.3,-1,0,2,79.8,moderate
Methyl butanoate,methyl butyrate,CH3CH2CH2COOCH3,5,ester,-COO-,102.133,25,-7.25,26.3,-1.2,0,2,102.3,low
Methyl pentanoate,methyl valerate,CH3(CH2)3COOCH3,6,ester,-COO-,116.16,25,-7.25,26.3,-1.3333333333333333,0,2,127.2,low
Propan-2-one,acetone,CH3COCH3,3,ketone,>C=O,58.08,20,-7.2,17.07,-1.3333333333333333,0,1,56.1,miscible
Butan-2-one,methyl ethyl ketone (MEK),CH3CH2COCH3,4,ketone,>C=O,72.107,20,-7.2,17.07,-1.5,0,1,79.6,high
Pentan-2-one,methyl propyl ketone,CH3CH2CH2COCH3,5,ketone,>C=O,86.134,20,-7.2,17.07,-1.6,0,1,102.3,moderate
Hexan-2-one,methyl butyl ketone,CH3(CH2)3COCH3,6,ketone,>C=O,100.161,20,-7.2,17.07,-1.6666666666666667,0,1,127.6,low
Propanamide,propionamide,CH3CH2CONH2,3,amide,-CONH2,73.095,17,-0.49,43.09,-0.6666666666666666,1,1,213,high
