hmdb_matched_name,hmdb_accession,hmdb_boiling_point,hmdb_melting_point,hmdb_water_solubility,hmdb_pka_strongest_acidic,hmdb_pka_strongest_basic,hmdb_polar_surface_area,hmdb_donor_count,hmdb_acceptor_count,hmdb_average_mass
Butyric acid,HMDB0000039,,-5.7 °C,60.0 mg/mL,4.91,,37.3,1,2,88.1051
Propionic acid,HMDB0000237,,-20.7 °C,1000.0 mg/mL,4.75,,37.3,1,2,74.0785
Butanone,HMDB0000474,78.60 to   80.00 °C. @  760.00 mm Hg,-86.6 °C,223.0 mg/mL,19.68,-7.3,17.07,0,1,72.1057
Caproic acid,HMDB0000535,202.00 to  203.00 °C. @  760.00 mm Hg,-4.00 to   -3.00 °C. @  760.00 mm Hg,10.3 mg/mL,,,,,,116.1583
Hexanoylcarnitine,HMDB0000756,,,,4.22,-7.1,66.43,0,3,260.3498
Propyl alcohol,HMDB0000820,,-126.1 °C,1000.0 mg/mL,16.85,-2,20.23,1,1,60.095
Valeric acid,HMDB0000892,,-34 °C,24.0 mg/mL,5.01,,37.3,1,2,102.1317
Acetone,HMDB0001659,56.00 to   57.00 °C. @  760.00 mm Hg,-94.8 °C,1000 mg/mL at 25 °C,19.51,-7.2,17.07,0,1,58.0791
Propanal,HMDB0003366,,-80 °C,306 mg/mL at 25 °C,17.32,-6.9,17.07,0,1,58.0791
Butanal,HMDB0003543,74.00 to   75.00 °C. @  760.00 mm Hg,-99 °C,71 mg/mL at 25 °C,17.97,-6.9,17.07,0,1,72.1057
1-Butanol,HMDB0004327,,-89.8 °C,63.2 mg/mL at 25 °C,16.95,-1.9,20.23,1,1,74.1216
2-Oxohexane,HMDB0005842,127.60 °C. @  760.00 mm Hg,-55.5 °C,17.5 mg/mL at 20 °C,19.64,-7.3,17.07,0,1,100.1589
Hexanal,HMDB0005994,130.00 to  131.00 °C. @  760.00 mm Hg,-56 °C,5.64 mg/mL at 30 °C,17.79,-6.9,17.07,0,1,100.1589
1-Hexanol,HMDB0012971,156.00 to  157.00 °C. @  760.00 mm Hg,-44.6 °C,6885 mg/L @ 25 °C (est),16.84,-2,20.23,1,1,102.1748
1-Pentanol,HMDB0013036,136.00 to  138.00 °C. @  760.00 mm Hg,-78.9 °C,22 mg/mL at 25 °C,16.84,-2,20.23,1,1,88.1482
