iupac_name,cid,molecularweight_pubchem,tpsa_pubchem,hbonddonorcount_pubchem,hbondacceptorcount_pubchem,boiling_point_pubchem_raw,water_solubility_pubchem_raw,dissociation_constants_pubchem_raw
Propane,6334,44.10,0,0,0,"-43.8 °F at 760 mmHg (USCG, 1999); -42.1 °C at 1 atm; -42 °C; -44 °F; -42.1 °C @760 [mm Hg]; -44 °F","0.01 % (NIOSH, 2024); Slightly soluble in acetone; soluble in ethanol; very soluble in ethyl ether, benzene, chloroform; 100 vol water dissolve 6.5 vol at 17.8 °C, 753 mm Hg; 100 vol absolute alcohol dissolve 790 vol at 16.6 °C, 754 mm Hg; 100 vol ether dissolve 926 vol at 16.6 °C, 757 mm Hg; 100 vol chloroform dissolve 1299 vol at 21.6 °C, 757 mm Hg; 100 vol benzene dissolve 1452 vol at 21.5 °C, 757 mm Hg; 100 vol turpentine dissolve 1587 vol at 17.7 °C, 757 mm Hg; In water, 62.4 ppm at 25 °C; 0.0624 mg/mL at 25 °C; Solubility in water, g/100ml at 20 °C: 0.007; 0.01%",
Butane,7843,58.12,0,0,0,"31.1 °F at 760 mmHg (NTP, 1992); -0.50 °C; -0.5 °C; 31 °F; 31 °F","61 mg/L at 68 °F (NTP, 1992); In water, 61.2 mg/L at 25 °C; Very soluble in ethanol, ethyl ether, chloroform; Solubility in water, g/100ml at 20 °C: 0.0061; Slight",
Pentane,8003,72.15,0,0,0,"97 °F at 760 mmHg (NTP, 1992); 36.06 °C; 36.00 to 37.00 °C. @ 760.00 mm Hg; 36 °C; 97 °F; 36.1 °C @760 [mm Hg]; 97 °F","less than 1 mg/mL at 70 °F (NTP, 1992); In water, 38 mg/L at 25 °C; Miscible with ethanol, ethyl ether, acetone, benzene, chloroform; soluble in carbon tetrachloride; 0.038 mg/mL at 25 °C; Solubility in water, g/100ml at 20 °C: 0.004 (very poor); 0.04%",
Hexane,8058,86.18,0,0,0,"156 °F at 760 mmHg (NTP, 1992); 68.73 °C; 68.70 °C. @ 760.00 mm Hg; 69 °C; 156 °F; 68.73 °C @760 [mm Hg]; 156 °F","less than 1 mg/mL at 61.7 °F (NTP, 1992); In water, 9.5 mg/L at 25 °C; 9.5 to 13 mg/L at 20 °C in distilled water, 75.5 mg/L at 20 °C in salt water; Very soluble in ethanol; soluble in ethyl ether, chloroform; Miscible with alcohol, chloroform, and ether; 0.0095 mg/mL at 25 °C; Solubility in water, g/100ml at 20 °C: 0.0013 (practically insoluble); 0.002%",
Propan-1-ol,1031,60.10,20.2,1,1,"207 °F at 760 mmHg (USCG, 1999); 97.2 °C; 97 °C; 97 °C; 207 °F; 97.19 °C @760 [mm Hg]; 207 °F","Miscible (NIOSH, 2024); MISCIBLE WITH PROPYLENE GLYCOL; > 10% acetone; > 10% benzene; > 10% ether; For more Solubility (Complete) data for N-PROPANOL (6 total), please visit the HSDB record page.; 1000.0 mg/mL; Solubility in water: miscible; 1 ml in 1 ml 95% alcohol (in ethanol); Miscible",16.1; pKa = 16.10
Butan-1-ol,263,74.12,20.2,1,1,"243.9 °F at 760 mmHg (USCG, 1999); 117.6 °C; 117 °C; 117.7 °C; 243 °F; 117.73 °C @760 [mm Hg]; 243 °F","9 % (NIOSH, 2024); For more Solubility (Complete) data for N-BUTYL ALCOHOL (17 total), please visit the HSDB record page.; In water, 68 g/L at 25 °C; In water, 6.32X10+4 mg/L at 25 °C; Miscible with many organic solvents; Very soluble in acetone; miscible with ethanol and ethyl ether; > 10% in benzene; 63.2 mg/mL at 25 °C; Solubility in water, g/100ml at 20 °C: 7.7 (soluble); miscible with alcohol, ether, organic solvents, 1 ml in 15 ml water; (in ethanol); 9%",16.1 (at 25 °C); pKa = 16.10
Pentan-1-ol,6276,88.15,20.2,1,1,"280 °F at 760 mmHg (NTP, 1992); 137.5 °C; 136.00 to 138.00 °C. @ 760.00 mm Hg; 138 °C; 136 °C","10 to 50 mg/mL at 63 °F (NTP, 1992); Miscible with alcohol, ether; Sol in acetone; MISCIBLE WITH MOST ORG SOLVENTS; In water, 22,000 mg/L at 25 °C; 22 mg/mL at 25 °C; Solubility in water, g/100ml at 20 °C: 2.2 (moderate); miscible with  alcohol; (in ethanol)",
Hexan-1-ol,8103,102.17,20.2,1,1,"314.8 °F at 760 mmHg (USCG, 1999); 157 °C at  760 mm Hg; Boiling points at various pressures. [Table#1649]; 156.00 to 157.00 °C. @ 760.00 mm Hg; 157 °C; 157 °C; 157.2 °C @760 [mm Hg]","Sol in ethanol, acetone, chloroform; miscible with ether, benzene; slightly soluble in carbon tetrachloride; In water, 5,900 mg/L at 25 °C; Solubility in water, g/100ml at 20 °C: 0.59; miscible with  alcohol, ether, 1 ml in 175 ml water; (in ethanol)",
Propane-1-thiol,7848,76.16,1,1,1,"153 °F at 760 mmHg (USCG, 1999); 67.8 °C; 67.00 to 68.00 °C. @ 760.00 mm Hg; 68 °C; 67-68 °C; 153 °F","Slight (NIOSH, 2024); Miscible in ethanol, ether; very soluble in acetone; SOL IN PROPYLENE GLYCOL; Soluble in ethanol, ether, acetone, benzene; In water, 1.90X10+3 mg/L at 25 °C; 1.9 mg/mL at 25 °C; Solubility in water, g/100ml at 25 °C: 0.190; soluble in water, alcohol, propylene glycol and oils; (in ethanol); Slight",
Butane-1-thiol,8012,90.19,1,1,1,"229.3 °F at 760 mmHg (USCG, 1999); 97.2 - 101.7 °C; Forms azeotropic mixture with butyl alcohol (bp: 97.8 °C; 85.16% butanethiol) & with butyl alcohol and water; mobile; 98.50 °C. @ 760.00 mm Hg; 98 °C; 97-98.4 °C; 209 °F; 98.5 °C @760 [mm Hg]; 209 °F","0.06 % (NIOSH, 2024); Slightly soluble in chloroform; Very soluble in alcohol, ether, liquid hydrogen sulfide; In water, 595 mg/L at 25 °C; 0.597 mg/mL at 20 °C; Solubility in water, g/100ml: 0.06; 0.6 g in 100 ml water; slightly soluble in oils; 1 ml in 1 ml 95% alcohol (in ethanol); 0.06%",pKa = 10.78
