entity_type,layer,silhouette_functional_group,silhouette_carbon_count
functional_group,1,-0.0749448835849762,-0.04917368292808533
functional_group,17,-0.03781308978796005,-0.012817292474210262
functional_group,32,-0.08230580389499664,-0.012153318151831627
functional_group_structure,1,-0.09216075390577316,-0.05676122009754181
functional_group_structure,17,-0.04895467311143875,-0.014781903475522995
functional_group_structure,32,-0.08648847788572311,-0.015101077035069466
mw,1,-0.07597841322422028,-0.04042448848485947
mw,17,0.3885209858417511,-0.012040751054883003
mw,32,0.2184675633907318,-0.009606300853192806
pka,1,-0.04741230234503746,-0.029905907809734344
pka,17,0.6296929717063904,-0.010850390419363976
pka,32,0.4914388656616211,-0.024305280297994614
pkah,1,-0.05784177407622337,-0.04235211759805679
pkah,17,0.3807549476623535,-0.009919838048517704
pkah,32,0.13221101462841034,-0.0200559850782156
tpsa,1,-0.06355156004428864,-0.036677177995443344
tpsa,17,-0.04023827612400055,-0.009591886773705482
tpsa,32,-0.07191602140665054,-0.02923903614282608
avg_carbon_oxidation_state,1,-0.04012831300497055,-0.023068023845553398
avg_carbon_oxidation_state,17,-0.043001435697078705,-0.009444368071854115
avg_carbon_oxidation_state,32,-0.09507042169570923,-0.01468935701996088
hbd,1,-0.0623406246304512,-0.04454146325588226
hbd,17,-0.06963855773210526,-0.011355607770383358
hbd,32,-0.0432162769138813,-0.013517805375158787
hba,1,-0.07056182622909546,-0.03312884271144867
hba,17,-0.0470360592007637,-0.009551585651934147
hba,32,-0.06702709943056107,-0.014914955012500286
boiling_point_c,1,-0.05542921647429466,-0.04270811751484871
boiling_point_c,17,0.47579425573349,-0.017378341406583786
boiling_point_c,32,-0.0380120575428009,-0.05182206630706787
water_solubility,1,-0.07882699370384216,-0.04844564199447632
water_solubility,17,-0.03690216690301895,-0.010080001316964626
water_solubility,32,-0.04947693273425102,-0.013440323062241077
