pair,layer,r2
atomic number - period,1,0.9480072189753432
atomic number - period,2,0.9307544581754982
atomic number - period,3,0.8450446914924811
atomic number - period,4,0.11905487164882762
atomic number - period,5,0.5605527930207224
atomic number - period,6,-0.09251619137144465
atomic number - period,7,0.10733467426969234
atomic number - period,8,0.26082634597210075
atomic number - period,9,-0.19621999111733643
atomic number - period,10,-0.75678805009921
atomic number - period,11,-1.203938850129359
atomic number - period,12,-0.5131424249625429
atomic number - period,13,-0.987198005962321
atomic number - period,14,-0.6834559295628105
atomic number - period,15,-0.5238826720993176
atomic number - period,16,-0.616082049267812
atomic number - period,17,-0.9933902471901392
atomic number - period,18,-1.1866616636672327
atomic number - period,19,-2.1721934811864485
atomic number - period,20,-2.587863570642734
atomic number - period,21,-1.945011545550781
atomic number - period,22,-1.2001776852121178
atomic number - period,23,-1.3510604180147396
atomic number - period,24,-1.3866820762314258
atomic number - period,25,-1.8177004490704782
atomic number - period,26,-1.7758777110557322
atomic number - period,27,-1.6074149810463485
atomic number - period,28,-2.0273530979882146
atomic number - period,29,-2.3387322751418207
atomic number - period,30,-1.516728205121657
atomic number - period,31,-1.7083433662570056
atomic number - period,32,-1.3467506458902474
atomic number - period,33,-1.4778763297369668
atomic number - period,34,-1.5038815182499556
atomic number - period,35,-2.2227354696164383
atomic number - period,36,-0.6092052277729808
atomic number - period,37,0.31588709013652705
atomic number - period,38,0.24554229959702142
atomic number - period,39,0.6608388785705134
atomic number - period,40,0.4498346072084264
atomic number - period,41,0.447835519864532
atomic number - period,42,0.4815745797227535
atomic number - period,43,0.5760944265148776
atomic number - period,44,0.20740440581565003
atomic number - period,45,0.4578764989690206
atomic number - period,46,0.5168807934841501
atomic number - period,47,0.4360894819489266
atomic number - period,48,0.49383034784322727
atomic number - period,49,0.4825427261094963
atomic number - period,50,0.5186744241745894
atomic number - period,51,0.5373452763699966
atomic number - period,52,0.5103691117676677
atomic number - period,53,0.49803033876183334
atomic number - period,54,0.479792181976439
atomic number - period,55,0.3387840437786826
atomic number - period,56,0.5528002224770402
atomic number - period,57,0.5534206021320716
atomic number - period,58,0.5532163444381427
atomic number - period,59,0.544508271296595
atomic number - period,60,0.5827846216161326
atomic number - period,61,0.4417445416194689
atomic number - period,62,0.5687915557565623
atomic number - period,63,0.47043668746053946
atomic number - period,64,0.3533757757766914
atomic number - period,65,0.40186918528950366
atomic number - period,66,0.4822877392408592
atomic number - period,67,0.45809430988065725
atomic number - period,68,0.42411127231582074
atomic number - period,69,0.2526510451984734
atomic number - period,70,0.3125348593069173
atomic number - period,71,0.08359828913540253
atomic number - period,72,0.09286596838144998
atomic number - period,73,-0.34363294889776513
atomic number - period,74,-0.24457439336252423
atomic number - period,75,-0.3593293011889702
atomic number - period,76,-0.1921571001749533
atomic number - period,77,-0.35984196451191275
atomic number - period,78,-0.27733023445308247
atomic number - period,79,-0.37517483622763503
atomic number - group,1,0.9532455572840053
atomic number - group,2,0.9276209494962921
atomic number - group,3,0.9150037994304983
atomic number - group,4,0.6781027924250986
atomic number - group,5,0.23564261400629963
atomic number - group,6,-0.5131302993297482
atomic number - group,7,-2.7067958697971175
atomic number - group,8,-0.5315987607357936
atomic number - group,9,-1.8094456259993437
atomic number - group,10,-2.4454065910266682
atomic number - group,11,-2.099365474692972
atomic number - group,12,-1.4649461235241197
atomic number - group,13,-1.304629135227439
atomic number - group,14,-1.5348223233740137
atomic number - group,15,-0.9438188904436272
atomic number - group,16,-1.6788714350782115
atomic number - group,17,-1.2815941916688856
atomic number - group,18,-1.1140350701029882
atomic number - group,19,-1.3799481417143038
atomic number - group,20,-1.3601339463374549
atomic number - group,21,-1.4651289994520007
atomic number - group,22,-1.6292626454501111
atomic number - group,23,-1.6859226307275688
atomic number - group,24,-1.53846687259046
atomic number - group,25,-2.4317621482101663
atomic number - group,26,-2.190624986236802
atomic number - group,27,-2.3192198848150576
atomic number - group,28,-2.088599549248691
atomic number - group,29,-2.0525352955346907
atomic number - group,30,-1.3795982416055779
atomic number - group,31,-1.095573307691805
atomic number - group,32,-1.1765027962703933
atomic number - group,33,-1.490585421266619
atomic number - group,34,-1.4507909660988163
atomic number - group,35,-2.707168302546427
atomic number - group,36,-0.9740301876417501
atomic number - group,37,-0.04095826642961502
atomic number - group,38,-0.0129845120245061
atomic number - group,39,0.5272366065309824
atomic number - group,40,0.2591087807468253
atomic number - group,41,0.27724796109963556
atomic number - group,42,0.20649430610499722
atomic number - group,43,0.2253808023546587
atomic number - group,44,0.03673360515175527
atomic number - group,45,0.05859654308023091
atomic number - group,46,0.19431329870115416
atomic number - group,47,0.23529678192683354
atomic number - group,48,0.28981824875992174
atomic number - group,49,0.23287403975579402
atomic number - group,50,0.3022943380509758
atomic number - group,51,0.2712409377239747
atomic number - group,52,0.28177499959088353
atomic number - group,53,0.2708079458646171
atomic number - group,54,0.20920606488979204
atomic number - group,55,0.2593792135833711
atomic number - group,56,0.27706638471697226
atomic number - group,57,0.24335761427545535
atomic number - group,58,0.22807883726898015
atomic number - group,59,0.2334186736023954
atomic number - group,60,0.17572127496479734
atomic number - group,61,0.14189397553308045
atomic number - group,62,0.23151752386244526
atomic number - group,63,0.21585029615980278
atomic number - group,64,0.10936787368378935
atomic number - group,65,0.15820002297376065
atomic number - group,66,0.05052251970653081
atomic number - group,67,0.0885741234621128
atomic number - group,68,0.03671586492824304
atomic number - group,69,0.0497713760014622
atomic number - group,70,0.11139900965563547
atomic number - group,71,-0.14607440205135871
atomic number - group,72,-0.2928895657632029
atomic number - group,73,-0.5934196738936555
atomic number - group,74,-0.657044811178452
atomic number - group,75,-0.7637030729101502
atomic number - group,76,-0.7274955091959237
atomic number - group,77,-0.7998194642670633
atomic number - group,78,-0.604986202270575
atomic number - group,79,-0.7377588474014962
period - group,1,0.9745920376599464
period - group,2,0.9425539789825297
period - group,3,0.9194868661996118
period - group,4,0.24191796581969296
period - group,5,-0.050841622573047696
period - group,6,0.29476331072311385
period - group,7,-2.4233665465207177
period - group,8,-0.5150980126366038
period - group,9,-1.3360177431799596
period - group,10,-0.17525651799563616
period - group,11,-0.5802310082377645
period - group,12,-1.0140013403013384
period - group,13,-0.6915864237284478
period - group,14,-0.8287759293621837
period - group,15,-0.5152510914655044
period - group,16,-1.5926489653689466
period - group,17,-1.7323087108708932
period - group,18,-1.9074389148740216
period - group,19,-1.5190304616573194
period - group,20,-2.5045886952455705
period - group,21,-1.6611097222381215
period - group,22,-1.366452065500313
period - group,23,-3.19547069982369
period - group,24,-2.1148732584888217
period - group,25,-2.602567442726602
period - group,26,-2.620546924149116
period - group,27,-2.199300975025922
period - group,28,-1.983775110903093
period - group,29,-1.0822666798723586
period - group,30,-1.4191598984724407
period - group,31,-1.547785099348722
period - group,32,-1.8022218266683663
period - group,33,-2.2055882341627475
period - group,34,-2.0466393852880573
period - group,35,-2.346080998719879
period - group,36,-1.5731002624829522
period - group,37,-0.0014255395790256364
period - group,38,0.06929664604056762
period - group,39,0.571593971812516
period - group,40,0.5533228267644404
period - group,41,0.417659264256591
period - group,42,0.4367226200679376
period - group,43,0.46506861366634544
period - group,44,0.4573245530172606
period - group,45,0.4761732286026728
period - group,46,0.4595091756505136
period - group,47,0.49140009197467505
period - group,48,0.4924786983304027
period - group,49,0.47269319823437533
period - group,50,0.47904629276857624
period - group,51,0.5049025387402166
period - group,52,0.5212804277513842
period - group,53,0.47925236657004283
period - group,54,0.473269006653876
period - group,55,0.4788031907515983
period - group,56,0.37248405903223303
period - group,57,0.3438724054956296
period - group,58,0.2975206880895581
period - group,59,0.3224031943685255
period - group,60,0.3514490337409225
period - group,61,0.25116393812594856
period - group,62,0.2717395385274315
period - group,63,0.2157733861285065
period - group,64,0.27667666344497654
period - group,65,0.21342914535049543
period - group,66,0.20116673662442947
period - group,67,0.15099810988456785
period - group,68,0.03810497064013872
period - group,69,-0.038297991496415475
period - group,70,-0.0022533593210790404
period - group,71,-0.07042869036556909
period - group,72,-0.15093561478552717
period - group,73,-0.28015483908431615
period - group,74,-0.2653510954165329
period - group,75,-0.33962814595313595
period - group,76,-0.33933577554252625
period - group,77,-0.43398462389945236
period - group,78,-0.24282166258616283
period - group,79,-0.6316640930539863
atomic mass - group,1,0.9281347728929342
atomic mass - group,2,0.9290371545644149
atomic mass - group,3,0.8517637861137576
atomic mass - group,4,0.4346841728352501
atomic mass - group,5,0.40721387987892843
atomic mass - group,6,-0.6126240253687232
atomic mass - group,7,-1.6798494639777495
atomic mass - group,8,-0.2691041094820358
atomic mass - group,9,-1.4858764911790496
atomic mass - group,10,-0.9563644965658208
atomic mass - group,11,-1.897443709477551
atomic mass - group,12,-1.6978565891686106
atomic mass - group,13,-1.7081631320329844
atomic mass - group,14,-1.7162025147322577
atomic mass - group,15,-1.3489198711614367
atomic mass - group,16,-1.6794716643491974
atomic mass - group,17,-1.616457029165878
atomic mass - group,18,-2.0223339912040874
atomic mass - group,19,-1.98300567035144
atomic mass - group,20,-3.63357078340123
atomic mass - group,21,-2.2562707952678904
atomic mass - group,22,-2.4731364954790314
atomic mass - group,23,-2.9247951299639867
atomic mass - group,24,-2.648178004122566
