entity_type,layer,silhouette_functional_group,silhouette_carbon_count
functional_group,1,-0.10133284330368042,-0.021720869466662407
functional_group,2,-0.06509864330291748,-0.006612099707126617
functional_group,3,-0.0466858446598053,-0.006730079650878906
functional_group,4,-0.03731146454811096,-0.0069574532099068165
functional_group,5,-0.051536619663238525,-0.005831486079841852
functional_group,6,-0.05242399126291275,-0.006882970687001944
functional_group,7,-0.05527329817414284,-0.007564995437860489
functional_group,8,-0.03060433268547058,-0.006547261495143175
functional_group,9,-0.06808905303478241,-0.008935988880693913
functional_group,10,-0.04901133105158806,-0.007826161570847034
functional_group,11,-0.05872374400496483,-0.00736438762396574
functional_group,12,-0.07729972153902054,-0.009509401395916939
functional_group,13,-0.05944759398698807,-0.007270354777574539
functional_group,14,-0.05478104203939438,-0.00561125623062253
functional_group,15,-0.05775967240333557,-0.00713364640250802
functional_group,16,-0.05864623561501503,-0.007063973695039749
functional_group,17,-0.04815135523676872,-0.006230706814676523
functional_group,18,-0.053943682461977005,-0.0075232889503240585
functional_group,19,-0.07493383437395096,-0.005631006322801113
functional_group,20,-0.09160343557596207,-0.006617342587560415
functional_group,21,-0.0877213105559349,-0.005650410428643227
functional_group,22,-0.08417024463415146,-0.005447560455650091
functional_group,23,-0.08658749610185623,-0.005431478843092918
functional_group,24,-0.06707346439361572,-0.0056594060733914375
functional_group,25,-0.046697959303855896,-0.005878393072634935
functional_group,26,-0.0552581362426281,-0.005607168655842543
functional_group,27,-0.05138779804110527,-0.005297292955219746
functional_group,28,-0.0575726255774498,-0.0056822397746145725
functional_group,29,-0.0629894807934761,-0.006212898995727301
functional_group,30,-0.06416761130094528,-0.005886311177164316
functional_group,31,-0.06104792654514313,-0.005666723474860191
functional_group,32,-0.09155143052339554,-0.006578080356121063
functional_group_structure,1,-0.131253182888031,-0.023230522871017456
functional_group_structure,2,-0.08182527869939804,-0.008020533248782158
functional_group_structure,3,-0.044734589755535126,-0.009663383476436138
functional_group_structure,4,-0.058545272797346115,-0.008549341931939125
functional_group_structure,5,-0.07208192348480225,-0.010039320215582848
functional_group_structure,6,-0.07822313159704208,-0.01134150568395853
functional_group_structure,7,-0.07461380958557129,-0.00869342964142561
functional_group_structure,8,-0.08321202546358109,-0.010454559698700905
functional_group_structure,9,-0.07935068756341934,-0.012083188630640507
functional_group_structure,10,-0.05386629328131676,-0.00856256764382124
functional_group_structure,11,-0.09304377436637878,-0.011107771657407284
functional_group_structure,12,-0.07304489612579346,-0.008352397009730339
functional_group_structure,13,-0.08061302453279495,-0.010066032409667969
functional_group_structure,14,-0.05766041576862335,-0.007416710257530212
functional_group_structure,15,-0.04547804594039917,-0.008147843182086945
functional_group_structure,16,-0.05890072509646416,-0.010071314871311188
functional_group_structure,17,-0.05737776309251785,-0.008452843874692917
functional_group_structure,18,-0.09253595769405365,-0.007389478851109743
functional_group_structure,19,-0.11251108348369598,-0.008480550721287727
functional_group_structure,20,-0.1031043753027916,-0.007767086382955313
functional_group_structure,21,-0.11722392588853836,-0.007481924723833799
functional_group_structure,22,-0.14234550297260284,-0.007341943681240082
functional_group_structure,23,-0.12846264243125916,-0.007158815395087004
functional_group_structure,24,-0.1252448707818985,-0.007105384021997452
functional_group_structure,25,-0.10611335933208466,-0.007252223789691925
functional_group_structure,26,-0.09935900568962097,-0.007269331254065037
functional_group_structure,27,-0.08605515956878662,-0.007393226958811283
functional_group_structure,28,-0.09325708448886871,-0.008517371490597725
functional_group_structure,29,-0.09623716026544571,-0.00863642618060112
functional_group_structure,30,-0.10295623540878296,-0.00961968395859003
functional_group_structure,31,-0.09168785810470581,-0.010209254920482635
functional_group_structure,32,-0.1142713651061058,-0.011782553046941757
mw,1,-0.1020241528749466,-0.019002186134457588
mw,2,-0.0544372983276844,-0.004966269247233868
mw,3,-0.035666391253471375,-0.007344219367951155
mw,4,-0.03659425303339958,-0.005594509653747082
mw,5,-0.040348075330257416,-0.005296119023114443
mw,6,-0.057127632200717926,-0.006222275551408529
mw,7,-0.05456721782684326,-0.005621163174510002
mw,8,-0.044536199420690536,-0.007170879747718573
mw,9,-0.03906923532485962,-0.004963788203895092
mw,10,-0.034466564655303955,-0.005688608158379793
mw,11,-0.036858685314655304,-0.005236131139099598
mw,12,-0.04599538818001747,-0.006265707314014435
mw,13,-0.03626168891787529,-0.005914079956710339
mw,14,-0.08926410973072052,-0.012569405138492584
mw,15,-0.09326803684234619,-0.017632540315389633
mw,16,0.015909293666481972,-0.015887154266238213
mw,17,0.20182031393051147,-0.009124722331762314
mw,18,0.3211517930030823,-0.00579026946797967
mw,19,0.355057954788208,-0.030506839975714684
mw,20,0.4174191355705261,-0.025700218975543976
mw,21,0.3958824574947357,-0.03364154323935509
mw,22,0.49114009737968445,-0.016776971518993378
mw,23,0.5000729560852051,-0.026907969266176224
mw,24,0.5029082894325256,-0.031096432358026505
mw,25,0.49596378207206726,-0.03264423459768295
mw,26,0.5022592544555664,-0.03154792636632919
mw,27,0.4981488585472107,-0.028665058314800262
mw,28,0.4526420533657074,-0.035413723438978195
