,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn
1,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,20.0,16.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,47.0,47.0,46.0,47.0,47.0,47.0,47.0
2,7.0,5.0,4.0,3.0,13.0,4.0,4.0,4.0,4.0,13.0,12.0,11.0,20.0,20.0,16.0,16.0,16.0,16.0,20.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,30.0,30.0,34.0,34.0,45.0,45.0,45.0,45.0,46.0,45.0,46.0,46.0,47.0,47.0,47.0,47.0,48.0,48.0
3,13.0,13.0,13.0,12.0,13.0,13.0,13.0,12.0,14.0,12.0,16.0,16.0,12.0,12.0,14.0,14.0,16.0,16.0,16.0,16.0,20.0,24.0,25.0,25.0,24.0,25.0,29.0,29.0,31.0,31.0,30.0,50.0,34.0,34.0,34.0,34.0,38.0,42.0,42.0,42.0,42.0,45.0,45.0,25.0,29.0,47.0,29.0,49.0,50.0,50.0
4,14.0,16.0,14.0,14.0,13.0,13.0,16.0,16.0,16.0,16.0,16.0,16.0,32.0,13.0,16.0,16.0,16.0,16.0,16.0,10.0,20.0,25.0,25.0,25.0,26.0,25.0,25.0,29.0,31.0,31.0,30.0,34.0,34.0,34.0,34.0,34.0,38.0,10.0,42.0,45.0,42.0,45.0,25.0,29.0,29.0,29.0,47.0,47.0,48.0,48.0
5,4.0,5.0,4.0,10.0,13.0,12.0,14.0,14.0,14.0,5.0,16.0,10.0,32.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,10.0,25.0,25.0,25.0,26.0,25.0,27.0,29.0,31.0,31.0,30.0,34.0,34.0,34.0,16.0,18.0,38.0,22.0,22.0,45.0,25.0,25.0,25.0,25.0,29.0,29.0,29.0,47.0,34.0,34.0
6,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,16.0,10.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,10.0,24.0,25.0,25.0,25.0,25.0,29.0,29.0,31.0,31.0,30.0,34.0,34.0,34.0,18.0,18.0,38.0,40.0,42.0,42.0,42.0,45.0,25.0,25.0,29.0,29.0,29.0,49.0,50.0,50.0
7,20.0,20.0,20.0,20.0,30.0,30.0,16.0,16.0,16.0,16.0,16.0,16.0,30.0,30.0,16.0,16.0,18.0,16.0,16.0,16.0,20.0,24.0,25.0,25.0,24.0,25.0,25.0,29.0,31.0,31.0,30.0,34.0,34.0,34.0,16.0,18.0,16.0,16.0,16.0,25.0,25.0,25.0,25.0,25.0,25.0,29.0,29.0,31.0,32.0,32.0
8,20.0,30.0,30.0,30.0,20.0,20.0,20.0,32.0,30.0,30.0,20.0,30.0,32.0,20.0,20.0,20.0,20.0,30.0,20.0,20.0,30.0,20.0,20.0,20.0,20.0,30.0,20.0,30.0,30.0,20.0,30.0,20.0,20.0,30.0,30.0,32.0,20.0,20.0,30.0,20.0,20.0,30.0,20.0,32.0,20.0,30.0,20.0,30.0,30.0,20.0
9,12.0,13.0,10.0,14.0,14.0,13.0,12.0,12.0,14.0,20.0,16.0,20.0,20.0,12.0,13.0,20.0,16.0,20.0,20.0,12.0,15.0,16.0,32.0,13.0,16.0,20.0,20.0,16.0,11.0,30.0,30.0,16.0,46.0,46.0,46.0,47.0,47.0,46.0,18.0,31.0,30.0,18.0,47.0,30.0,46.0,48.0,47.0,47.0,47.0,47.0
10,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,56.0,56.0,60.0,60.0,60.0,65.0,65.0,6.0,32.0,32.0,50.0,50.0,50.0,50.0,50.0,8.0,17.0,73.0,40.0,75.0,75.0,75.0,75.0,65.0,79.0,68.0,68.0,74.0,50.0,74.0
