,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn
1,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,1.0,8.0,-1.0,6.0,-3.0,4.0,-5.0,2.0,1.0,-4.0,-1.0,-2.0,-3.0,-4.0,-5.0,-6.0,3.0,2.0,1.0,0.0,-1.0,-2.0,-3.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,3.0,2.0,0.0,0.0,-1.0,-2.0,-3.0
2,6.0,3.0,1.0,-1.0,8.0,-2.0,-3.0,-4.0,-5.0,3.0,1.0,-1.0,7.0,6.0,1.0,0.0,-1.0,-2.0,1.0,-5.0,-1.0,-2.0,-3.0,-4.0,-5.0,-6.0,-7.0,-8.0,-9.0,-10.0,-1.0,-2.0,-3.0,-4.0,-1.0,-2.0,8.0,7.0,6.0,5.0,5.0,3.0,3.0,2.0,2.0,1.0,0.0,-1.0,-1.0,-2.0
3,12.0,11.0,10.0,8.0,8.0,7.0,6.0,4.0,5.0,2.0,5.0,4.0,-1.0,-2.0,-1.0,-2.0,-1.0,-2.0,-3.0,-4.0,-1.0,2.0,2.0,1.0,-1.0,-1.0,2.0,1.0,2.0,1.0,-1.0,18.0,1.0,0.0,-1.0,-2.0,1.0,4.0,3.0,2.0,1.0,3.0,2.0,-19.0,-16.0,1.0,-18.0,1.0,1.0,0.0
4,13.0,14.0,11.0,10.0,8.0,7.0,9.0,8.0,7.0,6.0,5.0,4.0,19.0,-1.0,1.0,0.0,-1.0,-2.0,-3.0,-10.0,-1.0,3.0,2.0,1.0,1.0,-1.0,-2.0,1.0,2.0,1.0,-1.0,2.0,1.0,0.0,-1.0,-2.0,1.0,-28.0,3.0,5.0,1.0,3.0,-18.0,-15.0,-16.0,-17.0,0.0,-1.0,-1.0,-2.0
5,3.0,3.0,1.0,6.0,8.0,6.0,7.0,6.0,5.0,-5.0,5.0,-2.0,19.0,2.0,1.0,0.0,-1.0,-2.0,-3.0,-4.0,-11.0,3.0,2.0,1.0,1.0,-1.0,0.0,1.0,2.0,1.0,-1.0,2.0,1.0,0.0,-19.0,-18.0,1.0,-16.0,-17.0,5.0,-16.0,-17.0,-18.0,-19.0,-16.0,-17.0,-18.0,-1.0,-15.0,-16.0
6,4.0,3.0,1.0,0.0,-1.0,-2.0,-2.0,-3.0,-4.0,-5.0,5.0,-2.0,3.0,2.0,1.0,0.0,-1.0,-2.0,-3.0,-4.0,-11.0,2.0,2.0,1.0,0.0,-1.0,2.0,1.0,2.0,1.0,-1.0,2.0,1.0,0.0,-17.0,-18.0,1.0,2.0,3.0,2.0,1.0,3.0,-18.0,-19.0,-16.0,-17.0,-18.0,1.0,1.0,0.0
7,19.0,18.0,17.0,16.0,25.0,24.0,9.0,8.0,7.0,6.0,5.0,4.0,17.0,16.0,1.0,0.0,1.0,-2.0,-3.0,-4.0,-1.0,2.0,2.0,1.0,-1.0,-1.0,-2.0,1.0,2.0,1.0,-1.0,2.0,1.0,0.0,-19.0,-18.0,-21.0,-22.0,-23.0,-15.0,-16.0,-17.0,-18.0,-19.0,-20.0,-17.0,-18.0,-17.0,-17.0,-18.0
8,19.0,28.0,27.0,26.0,15.0,14.0,13.0,24.0,21.0,20.0,9.0,18.0,19.0,6.0,5.0,4.0,3.0,12.0,1.0,0.0,9.0,-2.0,-3.0,-4.0,-5.0,4.0,-7.0,2.0,1.0,-10.0,-1.0,-12.0,-13.0,-4.0,-5.0,-4.0,-17.0,-18.0,-9.0,-20.0,-21.0,-12.0,-23.0,-12.0,-25.0,-16.0,-27.0,-18.0,-19.0,-30.0
9,11.0,11.0,7.0,10.0,9.0,7.0,5.0,4.0,5.0,10.0,5.0,8.0,7.0,-2.0,-2.0,4.0,-1.0,2.0,1.0,-8.0,-6.0,-6.0,9.0,-11.0,-9.0,-6.0,-7.0,-12.0,-18.0,0.0,-1.0,-16.0,13.0,12.0,11.0,11.0,10.0,8.0,-21.0,-9.0,-11.0,-24.0,4.0,-14.0,1.0,2.0,0.0,-1.0,-2.0,-3.0
10,4.0,3.0,2.0,2.0,1.0,0.0,-1.0,-2.0,-3.0,-4.0,-5.0,-6.0,-7.0,-8.0,-9.0,-10.0,-11.0,-12.0,-13.0,-14.0,35.0,34.0,37.0,36.0,35.0,39.0,38.0,-22.0,3.0,2.0,19.0,18.0,17.0,16.0,15.0,-28.0,-20.0,35.0,1.0,35.0,34.0,33.0,32.0,21.0,34.0,22.0,21.0,26.0,1.0,24.0
