Element Name,Atomic Number,Symbol,Atomic Mass,Electron Configuration,Electronegativity,Oxidation States,Group,Period,Is Metal,Next Period,Category_2,Category,Random,Random_group
Hydrogen,1,H,1.008,1s1,2.2,1,1,1,0,3.0,Non-metal,Non-metal,0.3745401188473625,18
Helium,2,He,4.0026,1s2,,0,18,1,0,10.0,Noble gas,Noble gas,0.9507143064099162,12
Lithium,3,Li,6.94,[He] 2s1,0.98,1,1,2,1,11.0,Metal,Alkali metal,0.7319939418114051,2
Beryllium,4,Be,9.0122,[He] 2s2,1.57,2,2,2,1,12.0,Metal,Alkaline earth metal,0.5986584841970366,10
Boron,5,B,10.81,[He] 2s2 2p1,2.04,3,13,2,0,13.0,Non-metal,Metalloid,0.15601864044243652,4
Carbon,6,C,12.011,[He] 2s2 2p2,2.55,4,14,2,0,14.0,Non-metal,Non-metal,0.15599452033620265,14
Nitrogen,7,N,14.007,[He] 2s2 2p3,3.04,3,15,2,0,15.0,Non-metal,Non-metal,0.05808361216819946,16
Oxygen,8,O,15.999,[He] 2s2 2p4,3.44,-2,16,2,0,16.0,Non-metal,Non-metal,0.8661761457749352,15
Fluorine,9,F,18.998,[He] 2s2 2p5,3.98,-1,17,2,0,17.0,Halogen,Halogen,0.6011150117432088,8
Neon,10,Ne,20.18,[He] 2s2 2p6,,0,18,2,0,18.0,Noble gas,Noble gas,0.7080725777960455,14
Sodium,11,Na,22.99,[Ne] 3s1,0.93,1,1,3,1,19.0,Metal,Alkali metal,0.020584494295802447,8
Magnesium,12,Mg,24.305,[Ne] 3s2,1.31,2,2,3,1,20.0,Metal,Alkaline earth metal,0.9699098521619943,16
Aluminum,13,Al,26.982,[Ne] 3s2 3p1,1.61,3,13,3,1,31.0,Metal,Post-transition metal,0.8324426408004217,13
Silicon,14,Si,28.085,[Ne] 3s2 3p2,1.9,4,14,3,0,32.0,Non-metal,Metalloid,0.21233911067827616,18
Phosphorus,15,P,30.974,[Ne] 3s2 3p3,2.19,3,15,3,0,33.0,Non-metal,Non-metal,0.18182496720710062,15
Sulfur,16,S,32.06,[Ne] 3s2 3p4,2.58,2,16,3,0,34.0,Non-metal,Non-metal,0.18340450985343382,13
Chlorine,17,Cl,35.45,[Ne] 3s2 3p5,3.16,-1,17,3,0,35.0,Halogen,Halogen,0.3042422429595377,9
Argon,18,Ar,39.948,[Ne] 3s2 3p6,,0,18,3,0,36.0,Noble gas,Noble gas,0.5247564316322378,15
Potassium,19,K,39.098,[Ar] 4s1,0.82,1,1,4,1,37.0,Metal,Alkali metal,0.43194501864211576,13
Calcium,20,Ca,40.078,[Ar] 4s2,1.0,2,2,4,1,38.0,Metal,Alkaline earth metal,0.2912291401980419,1
Scandium,21,Sc,44.956,[Ar] 3d1 4s2,1.36,3,3,4,1,39.0,Metal,Transition metal,0.6118528947223795,7
Titanium,22,Ti,47.867,[Ar] 3d2 4s2,1.54,4,4,4,1,40.0,Metal,Transition metal,0.13949386065204183,9
Vanadium,23,V,50.942,[Ar] 3d3 4s2,1.63,5,5,4,1,41.0,Metal,Transition metal,0.29214464853521815,1
Chromium,24,Cr,51.996,[Ar] 3d5 4s1,1.66,2,6,4,1,42.0,Metal,Transition metal,0.3663618432936917,12
Manganese,25,Mn,54.938,[Ar] 3d5 4s2,1.55,7,7,4,1,43.0,Metal,Transition metal,0.45606998421703593,8
Iron,26,Fe,55.845,[Ar] 3d6 4s2,1.83,2,8,4,1,44.0,Metal,Transition metal,0.7851759613930136,11
Cobalt,27,Co,58.933,[Ar] 3d7 4s2,1.88,3,9,4,1,45.0,Metal,Transition metal,0.19967378215835974,17
Nickel,28,Ni,58.693,[Ar] 3d8 4s2,1.91,2,10,4,1,46.0,Metal,Transition metal,0.5142344384136116,8
Copper,29,Cu,63.546,[Ar] 3d10 4s1,1.9,2,11,4,1,47.0,Metal,Transition metal,0.5924145688620425,3
Zinc,30,Zn,65.38,[Ar] 3d10 4s2,1.65,2,12,4,1,48.0,Metal,Transition metal,0.046450412719997725,3
Gallium,31,Ga,69.723,[Ar] 3d10 4s2 4p1,1.81,3,13,4,1,49.0,Metal,Post-transition metal,0.6075448519014384,1
Germanium,32,Ge,72.63,[Ar] 3d10 4s2 4p2,2.01,4,14,4,1,50.0,Metal,Metalloid,0.17052412368729153,5
Arsenic,33,As,74.922,[Ar] 3d10 4s2 4p3,2.18,5,15,4,0,,Non-metal,Metalloid,0.06505159298527952,10
